f(Hz),Zc(%)
58,94
58,94
58,94
58,94
58,94
58,94
58,94
58,94
58,94
58,94
58,94
58,94
58,94
58,94
58,94
58,94
58,94
58,94
58,94
58,94
58,94
58,94
58,94
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
38,96
38,96
38,96
38,96
38,96
38,96
38,96
38,96
56,96
56,96
56,96
56,96
56,96
56,96
56,96
56,96
56,96
56,96
56,27
56,27
56,27
56,27
56,27
56,27
56,27
56,27
56,27
56,19
56,19
56,19
56,19
56,19
56,19
56,18
56,18
56,18
56,18
56,18
56,18
56,18
56,18
52,18
52,18
52,18
52,18
52,18
52,18
59,18
59,18
59,18
59,18
59,18
59,18
59,18
59,18
59,18
59,18
59,18
59,18
59,18
59,18
59,18
59,18
59,18
59,18
59,18
59,18
59,18
59,18
59,16
59,16
59,16
59,16
59,16
59,16
59,16
59,16
59,16
59,16
59,16
59,16
59,16
59,16
59,16
59,16
59,16
59,16
59,16
59,16
59,86
40,86
40,86
40,86
40,86
40,86
40,86
40,83
40,83
40,83
40,83
40,83
40,83
40,83
40,83
39,83
39,83
39,83
39,83
39,83
39,83
39,83
39,83
39,83
39,83
39,20
39,20
39,20
39,20
39,20
39,20
39,20
39,20
39,20
48,20
48,20
48,20
48,20
48,20
48,20
48,20
48,20
48,20
48,20
48,20
48,20
48,20
48,20
48,20
48,20
48,20
48,20
48,20
48,20
48,20
48,20
48,20
48,20
48,20
42,20
42,20
42,20
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
42,66
38,66
38,66
38,66
38,66
38,66
38,66
38,66
38,66
38,66
38,66
38,66
38,66
38,66
38,66
38,66
38,76
38,76
38,76
38,76
44,76
44,76
44,76
44,76
44,76
44,76
44,76
44,76
44,76
44,76
44,76
44,76
44,76
44,76
44,76
44,76
44,76
44,76
44,76
44,76
44,76
44,76
44,76
44,76
44,76
44,76
54,76
54,76
54,76
54,76
54,76
54,76
54,76
54,76
54,76
54,76
54,76
54,76
54,35
54,35
47,35
47,35
47,35
47,35
47,35
47,35
47,35
47,35
47,35
47,35
47,35
47,77
47,77
47,77
47,77
47,77
47,77
47,77
47,77
47,77
47,77
47,77
47,77
47,77
47,77
47,77
47,77
47,77
47,77
47,77
47,77
47,77
36,77
36,77
36,77
36,77
36,77
36,77
36,77
36,77
36,77
36,77
36,77
36,77
36,77
36,77
36,77
36,77
36,77
36,77
36,77
36,77
36,77
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
39,99
39,99
39,99
39,99
39,99
39,99
39,99
39,99
58,99
58,99
58,99
58,99
58,43
58,43
58,43
58,43
58,43
58,43
58,43
58,43
58,43
58,43
58,43
58,43
58,43
58,43
58,43
58,43
58,43
58,43
58,43
58,43
58,43
58,43
